186.5398119	,	86.90748516
187.4596395	,	83.43753692
188.200297	,	79.96751996
190.3672315	,	76.49804994
193.9958603	,	73.02914043
195.573617	,	69.55944448
197.588882	,	66.0899163
200.5708319	,	62.62075881
204.5569674	,	59.1519864
207.9097577	,	55.68297112
211.5125527	,	52.2140517
215.8153609	,	48.74540072
221.1306882	,	45.27713801
226.6710198	,	41.80896158
232.3738545	,	38.34084746
238.3447078	,	35.19817684
244.6760181	,	32.70632587
251.4513543	,	30.32309208
258.1382891	,	27.83137749
263.9600181	,	24.90554349
266.6127951	,	21.43625977
265.4530001	,	17.96551406
260.407299	,	14.81861894
254.0570454	,	12.5387988
248.3271853	,	10.58455729
240.5069674	,	7.761938942
240.2232604	,	4.291529178
245.9592504	,	0.823427776
246.9288409	,	-2.646501388
249.1841104	,	-6.115937535
253.5349633	,	-9.367676282
259.5594194	,	-12.61877326
264.6422423	,	-16.08712513
266.3075007	,	-19.55678752
264.2351884	,	-23.02788316
259.2378208	,	-26.50010046
253.2453492	,	-29.86425245
247.5310932	,	-32.68606323
241.4694727	,	-35.3995603
234.3431526	,	-38.43880637
228.0662139	,	-41.36927982
221.9228428	,	-44.40814896
216.0162062	,	-47.77226803
210.618831	,	-51.24463873
206.0589718	,	-54.71668826
201.3241092	,	-58.1888049
196.3342417	,	-61.66101933
191.0750856	,	-65.02489011
184.1171155	,	-68.06407162
176.1691816	,	-70.56139823
169.3666981	,	-72.51605106
163.7393367	,	-74.36180636
156.8255956	,	-77.0756302
152.6469935	,	-80.54753353
150.8434363	,	-84.01852611
145.2112435	,	-87.27409304
